@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
6877,132,3919,3090,0.559138,0.981167,0.636995,0.981167,0.363005,0.77248,0.770153,1.27399,0
6877,132,3913,3096,0.558282,0.981167,0.637349,0.981167,0.362651,0.77274,0.769725,1.274699,0
6876,133,3911,3098,0.557997,0.981024,0.637434,0.981024,0.362566,0.772758,0.769511,1.274868,0
6876,133,3909,3100,0.557712,0.981024,0.637552,0.981024,0.362448,0.772845,0.769368,1.275104,0
6875,134,3906,3103,0.557283,0.980882,0.637696,0.980882,0.362304,0.772906,0.769083,1.275392,0
6875,134,3892,3117,0.555286,0.980882,0.638525,0.980882,0.361475,0.773515,0.768084,1.27705,0
6873,136,3883,3126,0.554002,0.980596,0.638992,0.980596,0.361008,0.773769,0.767299,1.277984,0
6873,136,3881,3128,0.553717,0.980596,0.639111,0.980596,0.360889,0.773856,0.767157,1.278222,0
6873,136,3878,3131,0.553289,0.980596,0.639289,0.980596,0.360711,0.773986,0.766943,1.278579,0
6873,136,3876,3133,0.553003,0.980596,0.639408,0.980596,0.360592,0.774074,0.7668,1.278817,0
6872,137,3864,3145,0.551291,0.980454,0.640089,0.980454,0.359911,0.774528,0.765872,1.280179,0
6872,137,3861,3148,0.550863,0.980454,0.640268,0.980454,0.359732,0.774659,0.765658,1.280537,0
6871,138,3859,3150,0.550578,0.980311,0.640354,0.980311,0.359646,0.774677,0.765444,1.280708,0
6871,138,3853,3156,0.549722,0.980311,0.640712,0.980311,0.359288,0.774939,0.765016,1.281425,0
6871,138,3852,3157,0.549579,0.980311,0.640772,0.980311,0.359228,0.774983,0.764945,1.281544,0
6870,139,3848,3161,0.549008,0.980168,0.640978,0.980168,0.359022,0.775089,0.764588,1.281956,0
6870,139,3844,3165,0.548438,0.980168,0.641217,0.980168,0.358783,0.775264,0.764303,1.282434,0
6870,139,3842,3167,0.548152,0.980168,0.641337,0.980168,0.358663,0.775351,0.76416,1.282674,0
6870,139,3838,3171,0.547582,0.980168,0.641576,0.980168,0.358424,0.775526,0.763875,1.283153,0
6869,140,3836,3173,0.547296,0.980026,0.641663,0.980026,0.358337,0.775545,0.763661,1.283326,0
6868,141,3836,3173,0.547296,0.979883,0.641629,0.979883,0.358371,0.775476,0.76359,1.283259,0
6868,141,3830,3179,0.54644,0.979883,0.641989,0.979883,0.358011,0.775738,0.763162,1.283978,0
6867,142,3829,3180,0.546298,0.97974,0.642016,0.97974,0.357984,0.775713,0.763019,1.284031,0
6867,142,3825,3184,0.545727,0.97974,0.642256,0.97974,0.357744,0.775888,0.762734,1.284512,0
6867,142,3821,3188,0.545156,0.97974,0.642496,0.97974,0.357504,0.776064,0.762448,1.284993,0
6865,144,3819,3190,0.544871,0.979455,0.64255,0.979455,0.35745,0.776013,0.762163,1.285099,0
6865,144,3814,3195,0.544158,0.979455,0.64285,0.979455,0.35715,0.776232,0.761806,1.285701,0
6864,145,3799,3210,0.542017,0.979312,0.643721,0.979312,0.356279,0.776822,0.760665,1.287443,0
6861,148,3784,3225,0.539877,0.978884,0.644528,0.978884,0.355472,0.777274,0.759381,1.289056,0
6861,148,3778,3231,0.539021,0.978884,0.644891,0.978884,0.355109,0.777539,0.758953,1.289783,0
6861,148,3772,3237,0.538165,0.978884,0.645255,0.978884,0.354745,0.777803,0.758525,1.290511,0
6861,148,3754,3255,0.535597,0.978884,0.64635,0.978884,0.35365,0.778597,0.757241,1.292699,0
6860,149,3752,3257,0.535312,0.978742,0.646438,0.978742,0.353562,0.778616,0.757027,1.292876,0
6860,149,3749,3260,0.534884,0.978742,0.646621,0.978742,0.353379,0.778749,0.756813,1.293242,0
6860,149,3747,3262,0.534598,0.978742,0.646743,0.978742,0.353257,0.778837,0.75667,1.293485,0
6860,149,3743,3266,0.534028,0.978742,0.646987,0.978742,0.353013,0.779014,0.756385,1.293973,0
6860,149,3739,3270,0.533457,0.978742,0.647231,0.978742,0.352769,0.779191,0.756099,1.294462,0
6858,151,3736,3273,0.533029,0.978456,0.647348,0.978456,0.352652,0.779185,0.755743,1.294695,0
6857,152,3730,3279,0.532173,0.978314,0.647681,0.978314,0.352319,0.779382,0.755243,1.295362,0
6857,152,3724,3285,0.531317,0.978314,0.648048,0.978314,0.351952,0.779648,0.754815,1.296097,0
6856,153,3723,3286,0.531174,0.978171,0.648076,0.978171,0.351924,0.779622,0.754673,1.296153,0
6855,154,3717,3292,0.530318,0.978028,0.648411,0.978028,0.351589,0.779819,0.754173,1.296822,0
6855,154,3715,3294,0.530033,0.978028,0.648534,0.978028,0.351466,0.779908,0.754031,1.297067,0
6854,155,3715,3294,0.530033,0.977886,0.6485,0.977886,0.3515,0.779838,0.753959,1.297001,0
6854,155,3714,3295,0.52989,0.977886,0.648562,0.977886,0.351438,0.779883,0.753888,1.297123,0
6854,155,3711,3298,0.529462,0.977886,0.648746,0.977886,0.351254,0.780016,0.753674,1.297492,0
6853,156,3705,3304,0.528606,0.977743,0.649081,0.977743,0.350919,0.780213,0.753174,1.298163,0
6853,156,3701,3308,0.528035,0.977743,0.649327,0.977743,0.350673,0.780391,0.752889,1.298655,0
6853,156,3698,3311,0.527607,0.977743,0.649512,0.977743,0.350488,0.780524,0.752675,1.299024,0
6853,156,3696,3313,0.527322,0.977743,0.649635,0.977743,0.350365,0.780613,0.752532,1.29927,0
6853,156,3693,3316,0.526894,0.977743,0.64982,0.977743,0.35018,0.780746,0.752318,1.29964,0
6852,157,3693,3316,0.526894,0.9776,0.649787,0.9776,0.350213,0.780677,0.752247,1.299573,0
6852,157,3692,3317,0.526751,0.9776,0.649848,0.9776,0.350152,0.780721,0.752176,1.299697,0
6851,158,3683,3326,0.525467,0.977458,0.65037,0.977458,0.34963,0.781052,0.751462,1.30074,0
6851,158,3679,3330,0.524897,0.977458,0.650617,0.977458,0.349383,0.78123,0.751177,1.301235,0
6850,159,3678,3331,0.524754,0.977315,0.650646,0.977315,0.349354,0.781205,0.751034,1.301292,0
6850,159,3676,3333,0.524469,0.977315,0.65077,0.977315,0.34923,0.781295,0.750892,1.301539,0
6850,159,3675,3334,0.524326,0.977315,0.650831,0.977315,0.349169,0.781339,0.75082,1.301663,0
6849,160,3666,3343,0.523042,0.977172,0.651355,0.977172,0.348645,0.781671,0.750107,1.30271,0
6849,160,3661,3348,0.522328,0.977172,0.651665,0.977172,0.348335,0.781894,0.74975,1.30333,0
6849,160,3657,3352,0.521758,0.977172,0.651913,0.977172,0.348087,0.782073,0.749465,1.303826,0
6849,160,3652,3357,0.521044,0.977172,0.652224,0.977172,0.347776,0.782296,0.749108,1.304447,0
6848,161,3650,3359,0.520759,0.97703,0.652315,0.97703,0.347685,0.782316,0.748894,1.304629,0
6848,161,3646,3363,0.520188,0.97703,0.652563,0.97703,0.347437,0.782494,0.748609,1.305127,0
6848,161,3643,3366,0.51976,0.97703,0.65275,0.97703,0.34725,0.782629,0.748395,1.3055,0
6848,161,3636,3373,0.518762,0.97703,0.653186,0.97703,0.346814,0.782942,0.747896,1.306372,0
6848,161,3634,3375,0.518476,0.97703,0.65331,0.97703,0.34669,0.783031,0.747753,1.306621,0
6848,161,3632,3377,0.518191,0.97703,0.653435,0.97703,0.346565,0.783121,0.74761,1.30687,0
6848,161,3631,3378,0.518048,0.97703,0.653497,0.97703,0.346503,0.783166,0.747539,1.306995,0
6848,161,3628,3381,0.51762,0.97703,0.653685,0.97703,0.346315,0.7833,0.747325,1.307369,0
6846,163,3622,3387,0.516764,0.976744,0.653993,0.976744,0.346007,0.78343,0.746754,1.307986,0
6845,164,3619,3390,0.516336,0.976602,0.654148,0.976602,0.345852,0.783495,0.746469,1.308295,0
6845,164,3617,3392,0.516051,0.976602,0.654273,0.976602,0.345727,0.783584,0.746326,1.308545,0
6845,164,3612,3397,0.515337,0.976602,0.654585,0.976602,0.345415,0.783809,0.745969,1.309171,0
6845,164,3611,3398,0.515195,0.976602,0.654648,0.976602,0.345352,0.783853,0.745898,1.309296,0
6844,165,3604,3405,0.514196,0.976459,0.655054,0.976459,0.344946,0.784098,0.745327,1.310107,0
6843,166,3603,3406,0.514053,0.976316,0.655083,0.976316,0.344917,0.784073,0.745185,1.310167,0
6842,167,3600,3409,0.513625,0.976173,0.655238,0.976173,0.344762,0.784138,0.744899,1.310477,0
6842,167,3598,3411,0.51334,0.976173,0.655364,0.976173,0.344636,0.784228,0.744757,1.310728,0
6842,167,3591,3418,0.512341,0.976173,0.655804,0.976173,0.344196,0.784543,0.744257,1.311607,0
6841,168,3591,3418,0.512341,0.976031,0.655771,0.976031,0.344229,0.784473,0.744186,1.311541,0
6841,168,3587,3422,0.511771,0.976031,0.656022,0.976031,0.343978,0.784653,0.743901,1.312044,0
6841,168,3582,3427,0.511057,0.976031,0.656337,0.976031,0.343663,0.784878,0.743544,1.312674,0
6839,170,3577,3432,0.510344,0.975745,0.656586,0.975745,0.343414,0.784964,0.743045,1.313172,0
6839,170,3573,3436,0.509773,0.975745,0.656838,0.975745,0.343162,0.785144,0.742759,1.313677,0
6839,170,3566,3443,0.508774,0.975745,0.65728,0.975745,0.34272,0.78546,0.74226,1.31456,0
6839,170,3562,3447,0.508204,0.975745,0.657533,0.975745,0.342467,0.78564,0.741975,1.315066,0
6839,170,3558,3451,0.507633,0.975745,0.657786,0.975745,0.342214,0.785821,0.741689,1.315572,0
6839,170,3557,3452,0.50749,0.975745,0.657849,0.975745,0.342151,0.785866,0.741618,1.315698,0
6839,170,3553,3456,0.50692,0.975745,0.658102,0.975745,0.341898,0.786047,0.741333,1.316205,0
6838,171,3549,3460,0.506349,0.975603,0.658323,0.975603,0.341677,0.786158,0.740976,1.316646,0
6836,173,3548,3461,0.506206,0.975317,0.65832,0.975317,0.34168,0.786063,0.740762,1.316641,0
6836,173,3546,3463,0.505921,0.975317,0.658447,0.975317,0.341553,0.786154,0.740619,1.316895,0
6836,173,3539,3470,0.504922,0.975317,0.658892,0.975317,0.341108,0.78647,0.74012,1.317783,0
6836,173,3536,3473,0.504494,0.975317,0.659082,0.975317,0.340918,0.786606,0.739906,1.318164,0
6835,174,3533,3476,0.504066,0.975175,0.65924,0.975175,0.34076,0.786672,0.73962,1.31848,0
6835,174,3531,3478,0.503781,0.975175,0.659367,0.975175,0.340633,0.786763,0.739478,1.318734,0
6834,175,3530,3479,0.503638,0.975032,0.659398,0.975032,0.340602,0.786738,0.739335,1.318796,0
6834,175,3526,3483,0.503067,0.975032,0.659653,0.975032,0.340347,0.786919,0.73905,1.319305,0
6834,175,3525,3484,0.502925,0.975032,0.659716,0.975032,0.340284,0.786965,0.738978,1.319432,0
